page,locale,url,field,before,after,char_count_before,char_count_after,status
hub,ar,/hub/,title,مراكز المحتوى المرجعية | BrightAI,مراكز محتوى AI | 4 محاور مرجعية,33,31,pending
hub,ar,/hub/,description,٤ مراكز محتوى مرجعية تغطي كل ما يخص حوكمة وأمان الذكاء الاصطناعي في السعودية: الحوكمة، الامتثال، الحلول التقنية، وحالات الاستخدام.,4 مراكز محتوى مرجعية من BrightAI: حوكمة AI وامتثال سعودي وحلول تقنية وحالات استخدام. مرجعك الكامل والشامل في مكان واحد للسوق السعودي بأكمله.,130,140,pending
blog,ar,/blog/,title,مدونة BrightAI لحوكمة الذكاء الاصطناعي في السعودية | BrightAI,مدونة BrightAI | 22 مقال عن حوكمة AI,61,36,pending
blog,ar,/blog/,description,22 مقالاً عملياً من BrightAI عن حوكمة الذكاء الاصطناعي، PDPL، NCA ECC، سدايا، ISO 42001، AI Firewall، وسجلات التدقيق للشركات السعودية.,22 مقال عملي من BrightAI عن حوكمة AI وPDPL وNCA ECC وسدايا وISO 42001 وAI Firewall وسجلات التدقيق. مقالات مخصصة للسوق السعودي بأكمله وقطاعاته.,134,142,pending
docs,ar,/docs/,title,مركز وثائق حوكمة الذكاء الاصطناعي الشامل | Saudi AI Safety OS,مركز الوثائق | 30+ دليل حوكمة AI,61,32,pending
docs,ar,/docs/,description,مرجع شامل لحوكمة وأمان الذكاء الاصطناعي في السعودية: 27+ وثيقة تغطي PDPL، NCA ECC، إرشادات سدايا، إدارة المخاطر، التدقيق، والتطبيق التقني - دليلك الكامل لتشغيل AI بأمان.,30+ وثيقة شاملة من BrightAI: PDPL وNCA ECC وإرشادات سدايا وإدارة المخاطر والتدقيق والتطبيق التقني. دليلك الكامل لتشغيل AI بالسعودية بأمان وثقة.,169,143,pending
kernel,ar,/kernel/,title,منصة حوكمة الذكاء الاصطناعي للمنشآت | BrightAI Kernel,BrightAI Kernel | حوكمة AI مركزية,53,33,pending
kernel,ar,/kernel/,description,شغّل حوكمة الذكاء الاصطناعي في منشأتك من لوحة مركزية تجمع السياسات والموافقات والأدلة والرقابة، وتمنح فرق العمل رؤية تنفيذية موحدة.,شغّل حوكمة الذكاء الاصطناعي من BrightAI Kernel: لوحة مركزية تجمع السياسات والموافقات والأدلة والرقابة. رؤية تنفيذية موحدة لفريقك في السعودية اليوم.,131,147,pending
authors,ar,/authors/[slug]/,title,م. ناصر العبدالله — مؤسس BrightAI | حوكمة الذكاء الاصطناعي,م. ناصر العبدالله | مؤسس BrightAI وخبير AI,58,42,pending
authors,ar,/authors/[slug]/,description,الصفحة التعريفية لم. ناصر العبدالله، مؤلف في BrightAI يكتب عن حوكمة الذكاء الاصطناعي وPDPL وضوابط NCA ECC وإرشادات سدايا.,م. ناصر العبدالله مؤسس BrightAI يكتب عن حوكمة الذكاء الاصطناعي وPDPL وNCA ECC وإرشادات سدايا. السيرة الكاملة والمقالات المهنية على الموقع الرسمي.,121,145,pending
privacy-policy,ar,/privacy-policy/,title,سياسة الخصوصية وحماية بيانات الذكاء الاصطناعي | BrightAI,سياسة الخصوصية | كيف نحمي بياناتك,56,33,pending
privacy-policy,ar,/privacy-policy/,description,سياسة خصوصية BrightAI توضح كيف نتعامل مع بيانات التواصل، طلبات الديمو، بيانات الأعمال، واستخدام تقنيات الذكاء الاصطناعي مع ضوابط السرية وحماية البيانات.,كيف نتعامل مع بيانات التواصل وطلبات الديمو وبيانات الأعمال في BrightAI. ضوابط سرية وحماية بيانات وفق نظام PDPL السعودي وأفضل الممارسات العالمية.,152,144,pending
cookie-policy,ar,/cookie-policy/,title,سياسة ملفات الارتباط في موقع BrightAI الرسمي | BrightAI,سياسة ملفات الارتباط | موقع BrightAI,55,36,pending
cookie-policy,ar,/cookie-policy/,description,اطلع على كيفية استخدام BrightAI لملفات الارتباط لتحسين تجربة الموقع وقياس الأداء، مع توضيح خيارات التحكم والخصوصية لزوار الموقع في السعودية، بوضوح.,كيف يستخدم BrightAI ملفات الارتباط لتحسين تجربة الموقع وقياس الأداء. خيارات التحكم والخصوصية لزوار الموقع في السعودية واضحة ومفصلة بالكامل للجميع.,147,146,pending
privacy-cookies,ar,/privacy-cookies/,title,سياسة الخصوصية وملفات الارتباط السعودية | BrightAI,سياسة الخصوصية + ملفات الارتباط,50,31,pending
privacy-cookies,ar,/privacy-cookies/,description,راجع سياسة الخصوصية وملفات الارتباط في BrightAI لمعرفة كيفية جمع البيانات واستخدامها، وخيارات التحكم المتاحة لزوار الموقع والعملاء، مع خطوة تالية واضحة.,سياسة الخصوصية وملفات الارتباط في BrightAI: كيف نجمع البيانات ونستخدمها وخيارات التحكم المتاحة لزوار وعملاء الموقع في السعودية بوضوح تام وشامل.,152,143,pending
terms,ar,/terms/,title,شروط استخدام BrightAI وخدمات حوكمة AI | BrightAI,شروط الاستخدام | حوكمة AI من BrightAI,48,37,pending
terms,ar,/terms/,description,راجع شروط استخدام موقع وخدمات BrightAI، بما يشمل مسؤوليات المستخدم، حدود الخدمة، ومتطلبات الاستخدام المقبول لحلول حوكمة الذكاء الاصطناعي، دون تعقيد زائد.,شروط استخدام موقع وخدمات BrightAI: مسؤوليات المستخدم وحدود الخدمة ومتطلبات الاستخدام المقبول لحلول حوكمة AI في السعودية وفق الأنظمة المحلية.,153,140,pending
pdpl-statement,ar,/pdpl-statement/,title,بيان امتثال BrightAI لنظام PDPL السعودي | BrightAI,بيان PDPL | امتثال BrightAI للبيانات,50,36,pending
pdpl-statement,ar,/pdpl-statement/,description,اطلع على بيان امتثال BrightAI لمتطلبات PDPL، وكيف تتعامل المنصة مع حماية البيانات الشخصية ضمن خدمات حوكمة الذكاء الاصطناعي في السعودية، دون تعقيد زائد.,بيان امتثال BrightAI لنظام PDPL: كيف نتعامل مع حماية البيانات الشخصية ضمن خدمات حوكمة AI بالسعودية. ضوابط واضحة وموثقة ومتوافقة محلياً مع LEA.,151,142,pending
data-processing-agreement,ar,/data-processing-agreement/,title,اتفاقية معالجة البيانات لخدمات BrightAI السحابية,اتفاقية معالجة البيانات (DPA),48,29,pending
data-processing-agreement,ar,/data-processing-agreement/,description,راجع اتفاقية معالجة البيانات الخاصة بخدمات BrightAI، بما يشمل أدوار المعالجة، حماية البيانات، والالتزامات التعاقدية المناسبة لعملاء السعودية، بوضوح.,اتفاقية معالجة بيانات خدمات BrightAI: أدوار المعالجة وحماية البيانات والالتزامات التعاقدية المناسبة لعملاء السعودية وفق PDPL والأنظمة المحلية.,148,142,pending
en-privacy-policy,en,/en/privacy-policy/,title,BrightAI Privacy Policy for Saudi AI Services,BrightAI Privacy Policy | Saudi AI,45,34,pending
en-privacy-policy,en,/en/privacy-policy/,description,"BrightAI explains personal data handling, privacy choices, and security commitments for visitors evaluating AI governance services in Saudi Arabia.","How BrightAI handles personal data, privacy choices, and security commitments for visitors evaluating AI governance services in Saudi Arabia today.",147,147,pending
en-cookie-policy,en,/en/cookie-policy/,title,BrightAI Cookie Policy for Saudi Website Users,BrightAI Cookie Policy | Saudi,46,30,pending
en-cookie-policy,en,/en/cookie-policy/,description,"BrightAI explains cookie use for site experience, analytics, and privacy choices so Saudi organizations can evaluate AI governance services with confidence.","How BrightAI uses cookies for site experience, analytics, and privacy choices. Clear options for Saudi organizations evaluating AI governance services.",156,151,pending
en-terms,en,/en/terms/,title,BrightAI Terms of Service for AI Governance | BrightAI,BrightAI Terms of Service,54,25,pending
en-terms,en,/en/terms/,description,"Review BrightAI terms for website and service use, including user responsibilities, acceptable use, and protections for AI governance customers in Saudi Arabia.","Review BrightAI terms for website and service use: user responsibilities, acceptable use, and protections for AI governance customers in Saudi Arabia.",160,150,pending
en-pdpl-statement,en,/en/pdpl-statement/,title,BrightAI PDPL Compliance Statement for Saudi AI,BrightAI PDPL Statement | Saudi AI,47,34,pending
en-pdpl-statement,en,/en/pdpl-statement/,description,"Read BrightAI PDPL compliance statement for responsible AI governance, data protection, and audit-ready controls designed for organizations in Saudi Arabia.","Read BrightAI PDPL compliance statement for responsible AI governance, data protection, and audit-ready controls for Saudi organizations today.",156,143,pending
en-data-processing-agreement,en,/en/data-processing-agreement/,title,BrightAI Data Processing Agreement for Clients,BrightAI DPA | Saudi Clients,46,28,pending
en-data-processing-agreement,en,/en/data-processing-agreement/,description,"Review BrightAI data processing terms, including roles, safeguards, and contractual commitments for organizations using AI governance services in Saudi Arabia.","Review BrightAI data processing terms: roles, safeguards, and contractual commitments for organizations using AI governance services in Saudi Arabia.",159,149,pending
offline,ar,/offline/,title,BrightAI غير متصل مؤقتا وخيارات المتابعة | BrightAI,BrightAI غير متصل | خيارات المتابعة,51,35,pending
offline,ar,/offline/,description,توضح هذه الصفحة أن الاتصال بخدمات BrightAI غير متاح مؤقتا، مع إرشاد المستخدم للعودة لاحقا دون فقدان سياق العمل أو بياناته المهمة، مع خطوة تالية واضحة.,الاتصال بخدمات BrightAI غير متاح مؤقتا. ارجع لاحقاً لاستعادة السياق والبيانات. خيارات متابعة واضحة أثناء فترة الانقطاع بالكامل للمستخدمين والزوار.,150,146,pending
