id,path,type,url_slug,content_type,durability,business_value,search_intent,saudi_relevance_0_10,word_count,has_faq_schema,internal_links_count,external_authority_links_count,evergreen_strategy,notes
P020,src/pages/en/terms/index.astro,page,/en/terms/,legal,evergreen,low,informational,7,416,no,low,medium,n/a,EN Terms of Service.
P021,src/pages/en/pdpl-statement/index.astro,page,/en/pdpl-statement/,legal,evergreen,low,informational,8,416,no,low,medium,n/a,EN PDPL statement. Lower Saudi relevance (international audience).
P022,src/pages/en/data-processing-agreement/index.astro,page,/en/data-processing-agreement/,legal,evergreen,low,informational,7,416,no,low,medium,n/a,EN Data Processing Agreement.
P023,src/pages/blog/index.astro,page,/blog/,cluster,evergreen,medium,navigational,9,573,no,high,none,n/a,Blog index page. Lists all 22 posts by category.
P024,src/pages/blog/[...slug].astro,page,/blog/{slug},tactical,template,template,informational,template,178,template,template,template,n/a,Blog post template. Single source for 22 posts. Actual word count from .md.
P025,src/pages/docs/index.astro,page,/docs/,cluster,evergreen,medium,navigational,9,1777,no,high,medium,n/a,Docs index page. Lists 41 docs by category.
P026,src/pages/docs/[...slug].astro,page,/docs/{slug},tactical,template,template,informational,template,136,template,template,template,n/a,Docs template. Single source for 41 docs.
P027,src/pages/authors/[slug].astro,page,/authors/{slug},cluster,evergreen,low,informational,8,504,no,low,low,n/a,Author profile template. Currently 1 author: nasser-alabdullah. E-E-A-T signal.
P028,src/pages/solutions/index.astro,page,/solutions/,pillar,evergreen,high,commercial,10,951,no,high,medium,n/a,Solutions index. Pillar page for all 8 solutions.
P029,src/pages/solutions/[slug].astro,page,/solutions/{slug},landing,evergreen,high,transactional,10,649,yes,high,low,n/a,Solution detail template. FAQs come from data file.
P030,src/pages/solutions/[sector].astro,page,/solutions/{sector},landing,evergreen,high,transactional,10,524,yes,medium,medium,n/a,Sector template (banking/government/healthcare/manufacturing).
P031,src/pages/solutions/[sector]/[city].astro,page,/solutions/{sector}/{city},landing,evergreen,high,transactional,10,661,yes,medium,low,n/a,City template. Currently 3 cities active (Riyadh/Dammam/Jeddah). KI-006: +3 cities needed.
P032,src/pages/kernel/index.astro,page,/kernel/,pillar,semi_evergreen,high,navigational,10,1100,yes,medium,low,n/a,Kernel index. Currently visually broken (KI-008 missing tokens). Backend-dependent.
P033,src/pages/kernel/[slug].astro,page,/kernel/{slug},tactical,semi_evergreen,high,informational,10,380,yes,medium,low,n/a,Kernel detail template. 11 kernel pages served. Backend data source.
P034,src/pages/kernel/offline.astro,page,/kernel/offline,utility,evergreen,low,navigational,5,29,no,none,none,n/a,Kernel offline fallback. Minimal content.
P035,src/pages/hub/index.astro,page,/hub/,cluster,evergreen,medium,navigational,9,164,no,medium,low,n/a,Hub index page. Lightweight. Content from hub-content-inline.ts.
P036,src/pages/hub/[slug].astro,page,/hub/{slug},cluster,evergreen,medium,informational,9,696,yes,medium,medium,n/a,Hub detail template. 4 hubs. Content from hub-content-inline.ts.
B001,src/content/blog/what-is-ai-governance-saudi-companies.md,blog,/blog/what-is-ai-governance-saudi-companies/,pillar,semi_evergreen,high,informational,10,3318,yes,high,medium,add quarterly compliance update + link to AI governance pillar page,Pillar article. Definitional. Highest Saudi relevance. Reading time 12min.
B002,src/content/blog/hidden-ai-risks-saudi-organizations.md,blog,/blog/hidden-ai-risks-saudi-organizations/,cluster,semi_evergreen,high,informational,9,1693,no,medium,medium,add refresh date for risk classification frameworks,Cluster to AI risks. Reading 10min. Uses Saudi-specific examples.
B003,src/content/blog/ai-governance-vs-ai-safety-vs-ai-security.md,blog,/blog/ai-governance-vs-ai-safety-vs-ai-security/,cluster,semi_evergreen,high,informational,9,2179,yes,medium,high,update ISO/IEC definitions when standards revise,Conceptual differentiation. Cross-links to governance and safety pillars.
B004,src/content/blog/shadow-ai-discovery-saudi-company.md,blog,/blog/shadow-ai-discovery-saudi-company/,cluster,semi_evergreen,high,informational,9,1693,no,medium,medium,update with latest shadow AI discovery stats annually,Discovery methodology. Tactical content.
B005,src/content/blog/pdpl-ai-compliance-guide.md,blog,/blog/pdpl-ai-compliance-guide/,pillar,semi_evergreen,high,informational,10,2970,yes,high,high,set up update alert when PDPL executive regulations change,PDPL-specific pillar. Reading 14min. Highest Saudi relevance.
B006,src/content/blog/nca-ecc-ai-controls-guide.md,blog,/blog/nca-ecc-ai-controls-guide/,pillar,semi_evergreen,high,informational,10,2139,yes,high,high,set up update alert when NCA ECC updates,NCA-specific pillar. Reading 13min.
B007,src/content/blog/sdaia-generative-ai-guidelines-practical-compliance.md,blog,/blog/sdaia-generative-ai-guidelines-practical-compliance/,temporal,semi_evergreen,high,informational,10,2194,yes,medium,high,add versioned timestamp + link to current SDAIA circular,SDAIA guidelines are evolving. TEMPORAL: re-publish on every SDAIA update. Reading 12min.
B008,src/content/blog/iso-42001-saudi-implementation-guide.md,blog,/blog/iso-42001-saudi-implementation-guide/,pillar,semi_evergreen,high,informational,10,2157,yes,high,high,add annual revision schedule + cross-link to ISO 42001 pillar,ISO 42001 implementation. Reading 15min. Highly stable framework.
B009,src/content/blog/ai-firewall-why-you-need-it.md,blog,/blog/ai-firewall-why-you-need-it/,cluster,evergreen,high,commercial,9,1713,yes,high,medium,add quarterly customer wins + cross-link to ai-firewall solution,Product-cluster content. Reading 10min.
B010,src/content/blog/ai-audit-trail-compliance-path.md,blog,/blog/ai-audit-trail-compliance-path/,cluster,semi_evergreen,high,commercial,9,1924,yes,high,high,update annually with latest NCA evidence format requirements,Audit trail methodology. Reading 11min.
B011,src/content/blog/healthcare-ai-governance-saudi-hospitals.md,blog,/blog/healthcare-ai-governance-saudi-hospitals/,cluster,semi_evergreen,high,commercial,10,2171,yes,medium,high,set up update alert when SFDA issues new AI medical device guidance,Healthcare sector cluster. Reading 13min.
B012,src/content/blog/banking-ai-governance-sama-requirements.md,blog,/blog/banking-ai-governance-sama-requirements/,cluster,semi_evergreen,high,commercial,10,2156,yes,medium,high,set up update alert when SAMA issues new AI risk circular,Banking sector cluster. Reading 12min.
B013,src/content/blog/ai-ethics-saudi-responsible-ai.md,blog,/blog/ai-ethics-saudi-responsible-ai/,cluster,semi_evergreen,high,informational,9,1698,no,medium,medium,add cross-link to SDAIA ethical AI framework,Ethics pillar cluster. Reading 10min.
B014,src/content/blog/best-ai-governance-platforms-2026.md,blog,/blog/best-ai-governance-platforms-2026/,temporal,semi_evergreen,medium,commercial,8,3561,yes,high,medium,REMOVE year from URL/title post-2026 + add quarterly competitor updates,TEMPORAL: title contains 2026. Convert to evergreen by versioning. Reading 14min.
B015,src/content/blog/ai-red-teaming-security-testing.md,blog,/blog/ai-red-teaming-security-testing/,cluster,evergreen,high,commercial,9,1713,yes,medium,high,add annual threat landscape refresh + cross-link to NCA AI controls,Security testing methodology. Reading 11min.
B016,src/content/blog/vision-2030-ai-governance-roadmap.md,blog,/blog/vision-2030-ai-governance-roadmap/,temporal,semi_evergreen,high,informational,10,2189,yes,medium,high,add milestone tracker linked to Vision 2030 annual reports,TEMPORAL: roadmap requires annual refresh. Reading 12min.
B017,src/content/blog/ai-governance-saudi-arabia.md,blog,/blog/ai-governance-saudi-arabia/,pillar,semi_evergreen,high,informational,10,2752,yes,high,high,set up auto-refresh when SDAIA issues new circular,Saudi Arabia pillar. Reading 15min.
B018,src/content/blog/ai-audit-trail-saudi.md,blog,/blog/ai-audit-trail-saudi/,pillar,semi_evergreen,high,informational,10,4083,yes,high,high,add quarterly update log of NCA ECC changes,Audit trail comprehensive. Reading 11min.
B019,src/content/blog/ai-customer-data-protection-saudi.md,blog,/blog/ai-customer-data-protection-saudi/,cluster,semi_evergreen,high,informational,10,2624,yes,high,high,set up update alert when PDPL executive regulations update,Customer data PDPL cluster. Reading 10min.
B020,src/content/blog/ai-governance.md,blog,/blog/ai-governance/,pillar,semi_evergreen,high,informational,10,3597,yes,high,high,add executive summary box + cross-link to AI governance platform solution,Comprehensive governance guide. Reading 13min.
B021,src/content/blog/pdpl-ai-safety.md,blog,/blog/pdpl-ai-safety/,cluster,semi_evergreen,high,informational,10,1860,yes,medium,high,set up update alert when PDPL safety guidelines update,PDPL safety cluster. Reading 10min.
B022,src/content/blog/pdpl-and-ai-saudi.md,blog,/blog/pdpl-and-ai-saudi/,cluster,semi_evergreen,high,informational,10,1483,yes,medium,high,set up update alert when PDPL AI guidance updates,PDPL foundational. Reading 11min.
D001,src/content/docs/ai-audit-readiness.md,doc,/docs/ai-audit-readiness/,tactical,evergreen,high,informational,9,419,no,medium,medium,add quarterly regulatory update section,Audit readiness technical guide.
D002,src/content/docs/ai-audit-trail.md,doc,/docs/ai-audit-trail/,tactical,evergreen,high,informational,9,395,no,medium,medium,add annual NCA format update check,Audit trail technical documentation.
D003,src/content/docs/ai-evidence-file.md,doc,/docs/ai-evidence-file/,tactical,evergreen,high,informational,9,412,no,medium,medium,add audit template download,Evidence file technical guide.
D004,src/content/docs/ai-firewall.md,doc,/docs/ai-firewall/,tactical,evergreen,high,informational,9,393,no,medium,medium,add quarterly threat model update,Firewall technical documentation.
D005,src/content/docs/ai-governance-platform.md,doc,/docs/ai-governance-platform/,tactical,evergreen,high,informational,9,386,no,medium,medium,add API changelog section,Platform technical guide.
D006,src/content/docs/ai-governance-saudi-arabia.md,doc,/docs/ai-governance-saudi-arabia/,tactical,semi_evergreen,high,informational,10,397,no,medium,high,set up update alert when SDAIA issues new circular,Saudi-specific tactical doc.
D007,src/content/docs/ai-risk-management.md,doc,/docs/ai-risk-management/,tactical,evergreen,high,informational,9,384,no,medium,medium,add annual risk framework refresh,Risk management methodology.
D008,src/content/docs/governance-application.md,doc,/docs/governance-application/,tactical,evergreen,high,informational,9,1558,no,high,medium,add versioned release notes,Application architecture doc.
D009,src/content/docs/human-approval-layer.md,doc,/docs/human-approval-layer/,tactical,evergreen,high,informational,9,413,no,medium,medium,add workflow diagram + UI screenshots,Approval layer technical guide.
D010,src/content/docs/kernel-accessibility-mobile.md,doc,/docs/kernel-accessibility-mobile/,tactical,evergreen,medium,informational,7,277,no,low,low,expand or merge into kernel-pages doc (too thin),Mobile accessibility for kernel. TOO THIN — candidate for merge.
D011,src/content/docs/kernel-api-client.md,doc,/docs/kernel-api-client/,tactical,evergreen,high,informational,8,359,no,medium,low,add changelog + version pinning,API client reference. Backend-dependent.
D012,src/content/docs/kernel-approvals.md,doc,/docs/kernel-approvals/,tactical,evergreen,high,informational,8,1086,no,medium,low,add quarterly UI screenshots refresh,Approvals module guide.
D013,src/content/docs/kernel-architecture.md,doc,/docs/kernel-architecture/,tactical,evergreen,high,informational,8,582,no,medium,low,add architecture diagram v2,Architecture overview.
D014,src/content/docs/kernel-audit-evidence.md,doc,/docs/kernel-audit-evidence/,tactical,evergreen,high,informational,8,346,no,medium,low,add evidence format examples,Audit evidence module.
D015,src/content/docs/kernel-audit-trail.md,doc,/docs/kernel-audit-trail/,tactical,evergreen,high,informational,8,967,no,medium,low,add sample audit trail entries,Audit trail module.
D016,src/content/docs/kernel-changelog-template.md,doc,/docs/kernel-changelog-template/,tactical,evergreen,medium,informational,7,290,no,low,low,add example changelog entries,Changelog template. Internal.
D017,src/content/docs/kernel-chat.md,doc,/docs/kernel-chat/,tactical,evergreen,high,informational,8,945,no,medium,low,add new chat features docs,Chat module guide.
D018,src/content/docs/kernel-compliance.md,doc,/docs/kernel-compliance/,tactical,evergreen,high,informational,8,373,no,medium,low,add quarterly compliance mappings update,Compliance module.
D019,src/content/docs/kernel-connectors.md,doc,/docs/kernel-connectors/,tactical,evergreen,high,informational,8,411,no,medium,low,add new connector docs as released,Connectors guide.
D020,src/content/docs/kernel-developer-onboarding.md,doc,/docs/kernel-developer-onboarding/,tactical,evergreen,medium,informational,7,304,no,medium,low,add updated onboarding screenshots,Developer onboarding.
D021,src/content/docs/kernel-evidence.md,doc,/docs/kernel-evidence/,tactical,evergreen,high,informational,8,868,no,medium,low,add quarterly evidence templates,Evidence module.
D022,src/content/docs/kernel-internal-linking.md,doc,/docs/kernel-internal-linking/,tactical,evergreen,medium,informational,7,281,no,low,low,expand with concrete examples,Internal linking guide. Internal-only. TOO THIN.
D023,src/content/docs/kernel-nvidia-proxy.md,doc,/docs/kernel-nvidia-proxy/,tactical,evergreen,medium,informational,7,324,no,low,low,add NVIDIA API update section,NVIDIA proxy guide. Backend-specific.
D024,src/content/docs/kernel-operations-runbook.md,doc,/docs/kernel-operations-runbook/,tactical,evergreen,medium,informational,7,297,no,low,low,add quarterly ops updates,Operations runbook. Internal.
D025,src/content/docs/kernel-pages.md,doc,/docs/kernel-pages/,tactical,evergreen,medium,informational,7,336,no,low,low,add cross-links to all kernel docs,Kernel pages reference.
D026,src/content/docs/kernel-policies.md,doc,/docs/kernel-policies/,tactical,evergreen,high,informational,8,707,no,medium,low,add quarterly policy templates,Policies module.
D027,src/content/docs/kernel-production-vs-demo.md,doc,/docs/kernel-production-vs-demo/,tactical,evergreen,medium,informational,7,293,no,low,low,add prod/demo feature matrix table,Production vs demo doc. Internal.
D028,src/content/docs/kernel-reports.md,doc,/docs/kernel-reports/,tactical,evergreen,high,informational,8,772,no,medium,low,add quarterly report templates,Reports module.
D029,src/content/docs/kernel-scenarios.md,doc,/docs/kernel-scenarios/,tactical,evergreen,high,informational,8,438,no,medium,low,add new scenario examples,Scenarios guide.
D030,src/content/docs/kernel-security-model.md,doc,/docs/kernel-security-model/,tactical,evergreen,high,informational,8,445,no,medium,low,add threat model diagram,Security model doc.
D031,src/content/docs/kernel-stats.md,doc,/docs/kernel-stats/,tactical,evergreen,high,informational,8,825,no,medium,low,add quarterly stats dashboard screenshots,Stats module.
D032,src/content/docs/kernel-testing-checklist.md,doc,/docs/kernel-testing-checklist/,tactical,evergreen,medium,informational,7,345,no,low,low,add new test scenarios,Testing checklist. Internal.
D033,src/content/docs/nca-ecc-ai-controls-mapping.md,doc,/docs/nca-ecc-ai-controls-mapping/,tactical,semi_evergreen,high,informational,10,1031,yes,medium,high,set up update alert when NCA ECC updates,Control mapping technical guide.
D034,src/content/docs/nca-ecc-ai-controls.md,doc,/docs/nca-ecc-ai-controls/,pillar,semi_evergreen,high,informational,10,4211,yes,high,high,set up annual update cycle + maintain changelog of NCA changes,NCA controls comprehensive. Pillar technical doc.
D035,src/content/docs/nca-ecc-ai-governance.md,doc,/docs/nca-ecc-ai-governance/,tactical,semi_evergreen,high,informational,10,413,no,medium,high,set up update alert when NCA ECC governance adds,Governance tactical.
D036,src/content/docs/nca-ecc-ai-guide.md,doc,/docs/nca-ecc-ai-guide/,pillar,semi_evergreen,high,informational,10,2673,yes,high,high,set up annual update cycle,NCA ECC AI guide pillar.
D037,src/content/docs/pdpl-ai-complete-guide.md,doc,/docs/pdpl-ai-complete-guide/,pillar,semi_evergreen,high,informational,10,2711,yes,high,high,set up update alert when PDPL executive regulations issue,PDPL comprehensive pillar.
D038,src/content/docs/pdpl-ai-governance.md,doc,/docs/pdpl-ai-governance/,tactical,semi_evergreen,high,informational,10,410,no,medium,high,set up update alert when PDPL governance frameworks update,PDPL governance tactical.
D039,src/content/docs/pdpl-chatgpt-data-protection.md,doc,/docs/pdpl-chatgpt-data-protection/,tactical,semi_evergreen,medium,informational,9,1033,yes,medium,high,update annually with ChatGPT policy changes,ChatGPT-specific. Risk: ChatGPT features change fast.
D040,src/content/docs/sdaia-generative-ai-guidelines.md,doc,/docs/sdaia-generative-ai-guidelines/,pillar,semi_evergreen,high,informational,10,2370,yes,high,high,set up versioned update on every SDAIA circular,SDAIA pillar. Reading 9min equivalent.
D041,src/content/docs/superpowers.md,doc,/docs/superpowers/,tactical,semi_evergreen,low,informational,5,248,no,low,low,rebrand as BrightAI Platform Roadmap and merge with kernel-pages,Superpowers doc. Internal roadmap. TOO THIN — candidate for merge.
M001,src/data/migrated-pages/solution-ai-firewall.json,page,/solutions/ai-firewall/,landing,evergreen,high,transactional,10,3388,yes,high,low,n/a,Solution: AI Firewall. Strong FAQ (in data). Conversion page.
M002,src/data/migrated-pages/solution-ai-audit-trail.json,page,/solutions/ai-audit-trail/,landing,evergreen,high,transactional,10,3659,yes,high,low,n/a,Solution: AI Audit Trail. Conversion page.
M003,src/data/migrated-pages/solution-ai-evidence-file.json,page,/solutions/ai-evidence-file/,landing,evergreen,high,transactional,10,4081,yes,high,low,n/a,Solution: AI Evidence File. Conversion page.
M004,src/data/migrated-pages/solution-human-approval-layer.json,page,/solutions/human-approval-layer/,landing,evergreen,high,transactional,10,3769,yes,high,low,n/a,Solution: Human Approval Layer. Conversion page.
M005,src/data/migrated-pages/solution-ai-use-case-discovery.json,page,/solutions/ai-use-case-discovery/,landing,evergreen,high,transactional,10,3756,yes,high,low,n/a,Solution: Shadow AI Discovery. Conversion page.
M006,src/data/migrated-pages/solution-ai-risk-classification.json,page,/solutions/ai-risk-classification/,landing,evergreen,high,transactional,10,4263,yes,high,low,n/a,Solution: AI Risk Classification. Longest content.
M007,src/data/migrated-pages/solution-continuous-ai-governance.json,page,/solutions/continuous-ai-governance/,landing,evergreen,high,transactional,10,4111,yes,high,low,n/a,Solution: Continuous AI Governance. Conversion page.
M008,src/data/migrated-pages/solution-policy-to-control-mapping.json,page,/solutions/policy-to-control-mapping/,landing,evergreen,high,transactional,10,3179,yes,high,low,n/a,Solution: Policy to Control Mapping. Conversion page.
M009,src/data/migrated-pages/sector-banking-ai-governance.json,page,/solutions/banking-ai-governance/,landing,evergreen,high,transactional,10,2296,yes,medium,medium,n/a,Sector: Banking. References SAMA/NCA/PDPL.
M010,src/data/migrated-pages/sector-government-ai-governance.json,page,/solutions/government-ai-governance/,landing,evergreen,high,transactional,10,2157,yes,medium,medium,n/a,Sector: Government. References DGA/PDPL/Vision 2030.
M011,src/data/migrated-pages/sector-healthcare-ai-governance.json,page,/solutions/healthcare-ai-governance/,landing,evergreen,high,transactional,10,2201,yes,medium,medium,n/a,Sector: Healthcare. References SFDA/ISO 13485.
M012,src/data/migrated-pages/sector-manufacturing-ai-governance.json,page,/solutions/manufacturing-ai-governance/,landing,evergreen,high,transactional,10,2143,yes,medium,medium,n/a,Sector: Manufacturing. References IoT/industry safety.
M013,src/data/migrated-pages/local-banking-ai-governance-riyadh.json,page,/solutions/banking-ai-governance/riyadh/,landing,evergreen,high,transactional,10,1603,yes,medium,medium,n/a,Local: Riyadh banking. Geo-coordinates present.
M014,src/data/migrated-pages/local-government-ai-governance-dammam.json,page,/solutions/government-ai-governance/dammam/,landing,evergreen,high,transactional,10,1562,yes,medium,medium,n/a,Local: Dammam government. Geo-coordinates present.
M015,src/data/migrated-pages/local-healthcare-ai-governance-jeddah.json,page,/solutions/healthcare-ai-governance/jeddah/,landing,evergreen,high,transactional,10,1561,yes,medium,medium,n/a,Local: Jeddah healthcare. Geo-coordinates present.
M016,src/data/migrated-pages/kernel-approvals.json,page,/kernel/approvals/,tactical,semi_evergreen,high,informational,10,1130,yes,medium,low,n/a,Kernel: Approvals module. Backend-dependent.
M017,src/data/migrated-pages/kernel-audit.json,page,/kernel/audit/,tactical,semi_evergreen,high,informational,10,1594,yes,medium,low,n/a,Kernel: Audit module. Backend-dependent.
M018,src/data/migrated-pages/kernel-chat.json,page,/kernel/chat/,tactical,semi_evergreen,high,informational,10,1241,yes,medium,low,n/a,Kernel: Chat module. Backend-dependent.
M019,src/data/migrated-pages/kernel-compliance.json,page,/kernel/compliance/,tactical,semi_evergreen,high,informational,10,1140,yes,medium,low,n/a,Kernel: Compliance module. Backend-dependent.
M020,src/data/migrated-pages/kernel-connectors.json,page,/kernel/connectors/,tactical,semi_evergreen,high,informational,10,1520,yes,medium,low,n/a,Kernel: Connectors module. Backend-dependent.
M021,src/data/migrated-pages/kernel-evidence.json,page,/kernel/evidence/,tactical,semi_evergreen,high,informational,10,1130,yes,medium,low,n/a,Kernel: Evidence module. Backend-dependent.
M022,src/data/migrated-pages/kernel-offline.json,page,/kernel/offline/,tactical,evergreen,low,navigational,5,449,no,low,none,n/a,Kernel: Offline fallback page. Backend-dependent.
M023,src/data/migrated-pages/kernel-policies.json,page,/kernel/policies/,tactical,semi_evergreen,high,informational,10,1342,yes,medium,low,n/a,Kernel: Policies module. Backend-dependent.
M024,src/data/migrated-pages/kernel-reports.json,page,/kernel/reports/,tactical,semi_evergreen,high,informational,10,1219,yes,medium,low,n/a,Kernel: Reports module. Backend-dependent.
M025,src/data/migrated-pages/kernel-scenarios.json,page,/kernel/scenarios/,tactical,semi_evergreen,high,informational,10,1937,yes,medium,low,n/a,Kernel: Scenarios module. Backend-dependent.
M026,src/data/migrated-pages/kernel-stats.json,page,/kernel/stats/,tactical,semi_evergreen,high,informational,10,1683,yes,medium,low,n/a,Kernel: Stats module. Backend-dependent.
