id,keyword,category,lang,estimated_volume,difficulty,intent,business_value,target_page,content_position,notes
D007,PDPL record of processing activities,D_PDPL_EN,en,low,low,informational,H,/solutions/ai-audit-trail/,h2,RoPA mapping to audit trail
D008,DPIA Saudi Arabia AI,D_PDPL_EN,en,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,h2,Data Protection Impact Assessment
D009,PDPL ChatGPT Saudi Arabia,D_PDPL_EN,en,low,low,informational,H,/docs/pdpl-chatgpt-data-protection/,title,Tool-specific doc - 1,033 words
D010,PDPL healthcare Saudi,D_PDPL_EN,en,low,low,commercial,H,/solutions/healthcare-ai-governance/,h2,Healthcare sector EN
D011,personal data processing Saudi AI,D_PDPL_EN,en,low,low,informational,M,/blog/pdpl-ai-compliance-guide/,body,Long-tail definition
E001,ضوابط الأمن السيبراني NCA ECC,E_NCA_AR,ar,med,low,informational,H,/docs/nca-ecc-ai-controls/,title,Top NCA anchor - 4,211 words longest doc
E002,NCA ECC الذكاء الاصطناعي,E_NCA_AR,ar,low,low,informational,H,/docs/nca-ecc-ai-controls/,h2,AI + NCA intersection
E003,ضوابط NCA ECC AI الشركات,E_NCA_AR,ar,low,low,commercial,H,/blog/nca-ecc-ai-controls-guide/,h2,Enterprise NCA angle - 2,139 words
E004,الأمن السيبراني الشركات السعودية,E_NCA_AR,ar,med,med,informational,M,/docs/nca-ecc-ai-governance/,h2,Broader NCA governance doc
E005,NCA حماية بيانات AI,E_NCA_AR,ar,low,low,informational,H,/blog/nca-ecc-ai-controls-guide/,body,NCA + AI data protection
E006,إطار الأمن السيبراني NCA,E_NCA_AR,ar,low,low,informational,M,/docs/nca-ecc-ai-guide/,h2,NCA framework guide - 2,673 words
E007,ربط الضوابط بسياسات AI,E_NCA_AR,ar,low,low,commercial,H,/solutions/policy-to-control-mapping/,title,Mapping product hook
F001,NCA ECC AI controls Saudi,F_NCA_EN,en,low,med,informational,H,/docs/nca-ecc-ai-controls/,title,EN NCA entry - 4,211 words
F002,Saudi cybersecurity AI compliance,F_NCA_EN,en,low,med,commercial,H,/solutions/ai-firewall/,h2,Firewall as NCA control implementation
F003,NCA ECC essential cybersecurity controls AI,F_NCA_EN,en,low,med,informational,H,/docs/nca-ecc-ai-controls-mapping/,h2,Control mapping doc - 1,031 words
F004,NCA ECC generative AI controls,F_NCA_EN,en,low,low,informational,H,/docs/nca-ecc-ai-controls/,h2,GenAI + NCA specific
F005,Saudi cybersecurity compliance AI enterprise,F_NCA_EN,en,low,med,commercial,H,/solutions/ai-firewall/,h2,Enterprise EN angle
G001,SFDA الذكاء الاصطناعي الطبي,G_SFDA_AR,ar,low,low,informational,H,/solutions/healthcare-ai-governance/,h2,SFDA sector anchor
G002,SFDA AI medical device Saudi,G_SFDA_EN,en,low,low,informational,H,/solutions/healthcare-ai-governance/,h2,EN medical device anchor
G003,SFDA MDS requirements AI,G_SFDA_EN,en,low,low,informational,H,/blog/healthcare-ai-governance-saudi-hospitals/,body,Medical device software reqs
G004,AI healthcare Saudi Arabia compliance,G_SFDA_EN,en,low,low,commercial,H,/solutions/healthcare-ai-governance/,h2,Healthcare commercial anchor
G005,SFDA medical AI regulations Saudi,G_SFDA_EN,en,low,low,informational,H,/blog/healthcare-ai-governance-saudi-hospitals/,h2,Regulations hook
G006,ISO 13485 Saudi AI medical,G_SFDA_AR,ar,low,low,informational,H,/blog/iso-42001-saudi-implementation-guide/,body,ISO 13485 cross-reference
H001,AI safety enterprise Saudi,H_AI_SAFETY_EN,en,low,low,informational,H,/blog/hidden-ai-risks-saudi-organizations/,h2,Enterprise safety angle - 1,693 words
H002,enterprise AI security platform Saudi,H_AI_SAFETY_EN,en,low,low,commercial,H,/solutions/ai-firewall/,h2,Platform commercial anchor
H003,AI risk management Saudi enterprise,H_AI_SAFETY_EN,en,low,low,commercial,H,/solutions/ai-risk-classification/,h2,Risk product hook
H004,LLM firewall enterprise Saudi,H_AI_SAFETY_EN,en,low,low,commercial,H,/solutions/ai-firewall/,title,Emerging LLM security category
H005,prompt injection protection Saudi,H_AI_SAFETY_EN,en,low,low,informational,H,/blog/ai-red-teaming-security-testing/,h2,Red-teaming article - 1,713 words
H006,AI data loss prevention Saudi,H_AI_SAFETY_EN,en,low,low,commercial,H,/solutions/ai-firewall/,h2,DLP + AI crossover
H007,AI red teaming Saudi enterprise,H_AI_SAFETY_EN,en,low,low,commercial,H,/blog/ai-red-teaming-security-testing/,title,Red team methodology anchor
H008,Shadow AI discovery Saudi enterprise,H_AI_SAFETY_EN,en,low,low,commercial,H,/solutions/ai-use-case-discovery/,h2,Discovery product hook
H009,shadow AI risks Saudi organizations,H_AI_SAFETY_EN,en,low,low,informational,H,/blog/shadow-ai-discovery-saudi-company/,h2,Discovery blog - 1,693 words
I001,حوكمة AI البنوك السعودية,I_BANKING_AR,ar,med,low,informational,H,/blog/banking-ai-governance-sama-requirements/,title,SAMA pillar - 2,156 words
I002,SAMA الذكاء الاصطناعي البنوك,I_BANKING_AR,ar,low,low,informational,H,/blog/banking-ai-governance-sama-requirements/,h2,SAMA regulatory angle
I003,SAMA AI risk management banks,I_BANKING_EN,en,low,low,informational,H,/blog/banking-ai-governance-sama-requirements/,h2,EN banking SAMA
I004,AI compliance banking Saudi Arabia,I_BANKING_EN,en,low,med,commercial,H,/solutions/banking-ai-governance/,title,Sector commercial anchor
I005,مكافحة غسل الأموال AI البنوك,I_BANKING_AR,ar,low,low,commercial,H,/solutions/banking-ai-governance/,h2,AML use case hook
I006,AI credit scoring Saudi bank compliance,I_BANKING_EN,en,low,low,commercial,H,/solutions/banking-ai-governance/,body,Credit risk use case
I007,AI fraud detection Saudi banking compliance,I_BANKING_EN,en,low,low,commercial,H,/solutions/ai-firewall/,body,Fraud detection hook
J001,حوكمة AI الجهات الحكومية السعودية,J_GOV_AR,ar,med,low,informational,H,/solutions/government-ai-governance/,title,Sector anchor
J002,DGA الذكاء الاصطناعي الحكومي,J_GOV_AR,ar,low,low,informational,H,/solutions/government-ai-governance/,h2,DGA regulator angle
J003,AI government Saudi compliance,J_GOV_EN,en,low,med,commercial,H,/solutions/government-ai-governance/,title,EN sector anchor
J004,DGA generative AI government Saudi,J_GOV_EN,en,low,low,informational,H,/docs/sdaia-generative-ai-guidelines/,h2,Cross-reference SDAIA + DGA
J005,حوكمة AI رؤية 2030,J_GOV_AR,ar,low,low,informational,H,/blog/vision-2030-ai-governance-roadmap/,title,Vision 2030 article - 2,189 words
K001,حوكمة AI المستشفيات السعودية,K_HEALTH_AR,ar,med,low,informational,H,/blog/healthcare-ai-governance-saudi-hospitals/,title,Healthcare pillar - 2,171 words
K002,AI healthcare compliance Saudi,K_HEALTH_EN,en,low,med,commercial,H,/solutions/healthcare-ai-governance/,title,EN healthcare anchor
K003,AI patient data Saudi hospital,K_HEALTH_EN,en,low,low,informational,H,/solutions/healthcare-ai-governance/,h2,PHI hook
K004,SFDA medical AI regulations Saudi,K_HEALTH_EN,en,low,low,informational,H,/blog/healthcare-ai-governance-saudi-hospitals/,h2,Regulations hook
K005,healthcare AI governance Saudi,K_HEALTH_EN,en,low,low,commercial,H,/solutions/healthcare-ai-governance/,h2,Commercial intent
L001,حوكمة AI الصناعة السعودية,L_INDUSTRY_AR,ar,low,low,informational,H,/solutions/manufacturing-ai-governance/,title,Sector anchor
L002,AI predictive maintenance Saudi compliance,L_INDUSTRY_EN,en,low,low,commercial,H,/solutions/manufacturing-ai-governance/,h2,Predictive maintenance use case
L003,AI industrial IoT Saudi governance,L_INDUSTRY_EN,en,low,low,commercial,H,/solutions/manufacturing-ai-governance/,h2,IoT intersection
M001,مخاطر الذكاء الاصطناعي على الشركات,M_PAIN_AR,ar,med,low,informational,H,/blog/hidden-ai-risks-saudi-organizations/,title,Pillar B002 - 1,693 words
M002,تسريب بيانات AI الشركات,M_PAIN_AR,ar,low,low,informational,H,/solutions/ai-firewall/,h2,Firewall pain-point hook
M003,shadow AI مخاطر الشركات السعودية,M_PAIN_AR,ar,low,low,informational,H,/blog/shadow-ai-discovery-saudi-company/,h2,Shadow AI discovery article
M004,موافقة بشرية قرارات AI,M_PAIN_AR,ar,low,low,informational,H,/solutions/human-approval-layer/,h2,Approval layer hook
M005,تدقيق AI الشركات السعودية,M_PAIN_AR,ar,low,low,informational,H,/solutions/ai-audit-trail/,h2,Audit trail hook
M006,AI بدون حوكمة مخاطر,M_PAIN_AR,ar,low,low,informational,M,/blog/hidden-ai-risks-saudi-organizations/,h2,Risk motivation
M007,AI بيانات حساسة الشركات,M_PAIN_AR,ar,low,low,informational,H,/solutions/ai-firewall/,body,Sensitive data keyword
M008,chatbot AI بيانات العملاء الشركات,M_PAIN_AR,ar,low,low,commercial,H,/kernel/chat/,h2,Chatbot kernel module
N001,AI Firewall السعودية,N_PRODUCT_AR,ar,med,low,commercial,H,/solutions/ai-firewall/,title,Firewall solution anchor
N002,جدار حماية الذكاء الاصطناعي,N_PRODUCT_AR,ar,med,low,commercial,H,/solutions/ai-firewall/,title,Arabic direct translation
N003,AI audit trail السعودية,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/ai-audit-trail/,title,EN audit trail anchor
N004,سجل تدقيق AI,N_PRODUCT_AR,ar,low,low,commercial,H,/solutions/ai-audit-trail/,h2,AR audit trail
N005,AI evidence file,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/ai-evidence-file/,title,EN evidence file
N006,ملف أدلة AI,N_PRODUCT_AR,ar,low,low,commercial,H,/solutions/ai-evidence-file/,h2,AR evidence file
N007,human approval layer AI,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/human-approval-layer/,title,EN approval layer
N008,طبقة الموافقة البشرية AI,N_PRODUCT_AR,ar,low,low,commercial,H,/solutions/human-approval-layer/,h2,AR approval layer
N009,AI risk classification enterprise,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/ai-risk-classification/,title,EN risk classification
N010,continuous AI governance,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/continuous-ai-governance/,title,Continuous governance product
N011,policy to control mapping AI,N_PRODUCT_EN,en,low,low,commercial,H,/solutions/policy-to-control-mapping/,title,Mapping product anchor
O001,أفضل منصات حوكمة AI 2026,O_COMPARE_AR,ar,med,med,commercial,H,/blog/best-ai-governance-platforms-2026/,title,Commercial comparison pillar - 3,561 words
O002,best AI governance platforms 2026,O_COMPARE_EN,en,med,med,commercial,H,/blog/best-ai-governance-platforms-2026/,title,EN comparison anchor
O003,AI governance platform comparison Saudi,O_COMPARE_EN,en,low,low,commercial,H,/blog/best-ai-governance-platforms-2026/,h2,Localized comparison
O004,ISO 42001 implementation Saudi,O_IMPL_EN,en,low,med,informational,H,/blog/iso-42001-saudi-implementation-guide/,title,ISO implementation pillar - 2,157 words
O005,ISO 42001 حوكمة AI السعودية,O_IMPL_AR,ar,low,low,informational,H,/blog/iso-42001-saudi-implementation-guide/,h2,AR ISO anchor
O006,AI governance assessment free Saudi,O_ASSESS_EN,en,low,low,transactional,H,/assessment/ai-governance-readiness/,title,Free assessment lead magnet
O007,تقييم جاهزية حوكمة AI مجاني,O_ASSESS_AR,ar,low,low,transactional,H,/assessment/ai-governance-readiness/,title,AR assessment CTA
O008,AI governance implementation steps Saudi,O_IMPL_EN,en,low,low,informational,H,/docs/ai-governance-saudi-arabia/,h2,Implementation methodology
